Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.27_13.58.29,-8.500187,51.893227,0,B,3,LTE,-104,-11,7.0,9,-85,41302,679,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.29,-8.500187,51.893227,0,B,3,LTE,-104,-11,7.0,9,-85,40172,659,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.30,-8.500187,51.893227,0,B,3,LTE,-102,-13,6.0,9,-85,31427,498,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.31,-8.500187,51.893227,0,B,3,LTE,-102,-13,6.0,9,-85,36683,631,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.32,-8.500187,51.893227,0,B,3,LTE,-102,-11,5.0,9,-85,36538,607,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.34,-8.500187,51.893227,0,B,3,LTE,-102,-11,5.0,9,-85,32064,776,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.35,-8.500187,51.893227,0,B,3,LTE,-103,-11,7.0,9,-85,32455,591,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.36,-8.500187,51.893227,0,B,3,LTE,-103,-11,7.0,9,-85,28977,481,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.37,-8.500187,51.893227,0,B,3,LTE,-103,-12,8.0,8,-87,28060,455,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.38,-8.500187,51.893227,0,B,3,LTE,-103,-12,8.0,8,-87,29895,473,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.39,-8.500187,51.893227,0,B,3,LTE,-104,-12,7.0,8,-87,31661,544,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.40,-8.500187,51.893227,0,B,3,LTE,-104,-12,7.0,8,-87,29659,577,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.41,-8.500187,51.893227,0,B,3,LTE,-103,-12,7.0,8,-87,31192,471,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.42,-8.500187,51.893227,0,B,3,LTE,-103,-12,7.0,8,-87,32422,539,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.43,-8.500187,51.893227,0,B,3,LTE,-103,-12,8.0,8,-87,34133,560,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.45,-8.500187,51.893227,0,B,3,LTE,-103,-12,8.0,8,-87,28798,483,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.46,-8.500187,51.893227,0,B,3,LTE,-103,-10,7.0,8,-87,31539,518,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.47,-8.500187,51.893227,0,B,3,LTE,-103,-10,7.0,8,-87,39557,814,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.48,-8.500187,51.893227,0,B,3,LTE,-104,-12,5.0,8,-87,39267,587,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.49,-8.500187,51.893227,0,B,3,LTE,-104,-12,5.0,8,-87,40340,638,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.50,-8.500187,51.893227,0,B,3,LTE,-103,-12,5.0,8,-87,36292,577,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.51,-8.500187,51.893227,0,B,3,LTE,-103,-12,5.0,8,-87,40765,672,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.52,-8.500187,51.893227,0,B,3,LTE,-103,-12,5.0,8,-87,29626,604,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.53,-8.500187,51.893227,0,B,3,LTE,-103,-12,5.0,8,-87,36146,598,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.54,-8.500187,51.893227,0,B,3,LTE,-103,-11,5.0,8,-87,39870,629,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.56,-8.500187,51.893227,0,B,3,LTE,-103,-11,5.0,8,-87,39703,657,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.57,-8.500187,51.893227,0,B,3,LTE,-104,-11,4.0,8,-87,30588,503,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.58,-8.500187,51.893227,0,B,3,LTE,-104,-11,4.0,8,-87,34726,828,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.58.59,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,38719,668,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.00,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,31572,566,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.01,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,39334,698,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.02,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,36772,710,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.03,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,39535,797,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.04,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,37578,625,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.05,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,37265,598,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.07,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,23766,378,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.08,-8.500187,51.893227,0,B,3,LTE,-104,-11,4.0,8,-87,29492,527,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.09,-8.500187,51.893227,0,B,3,LTE,-104,-11,4.0,8,-87,38260,853,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.10,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,39725,735,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.11,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,38506,644,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.12,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,38920,668,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.13,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,37801,786,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.14,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,38715,602,D,-,-,-8.499074,51.887362,656.62
2018.01.27_13.59.15,-8.500187,51.893227,0,B,3,LTE,-104,-12,4.0,8,-87,40184,677,D,-,-,-8.499074,51.887362,656.62
